ProductID,ItemNum,Name,CatYear,ExpirationDate,Discontinued,Cat1Name,Cat2Name,Page1,Page2,Description,Keywords,Colors,Themes,Dimension1,Dimension1Units,Dimension1Type,Dimension2,Dimension2Units,Dimension2Type,Dimension3,Dimension3Units,Dimension3Type,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Prc1,Prc2,Prc3,Prc4,Prc5,Prc6,PrCode,PiecesPerUnit1,PiecesPerUnit2,PiecesPerUnit3,PiecesPerUnit4,PiecesPerUnit5,PiecesPerUnit6,QuoteUponRequest,PriceIncludeClr,PriceIncludeSide,PriceIncludeLoc,SetupChg,SetupChgCode,ScreenChg,ScreenChgCode,PlateChg,PlateChgCode,DieChg,DieChgCode,ToolingChg,ToolingChgCode,RepeatChg,RepeatChgCode,AddClrChg,AddClrChgCode,AddClrRunChg1,AddClrRunChg2,AddClrRunChg3,AddClrRunChg4,AddClrRunChg5,AddClrRunChg6,AddClrRunChgCode,IsRecyclable,IsEnvironmentallyFriendly,IsNewProd,NotSuitable,Exclusive,Hazardous,OfficiallyLicensed,IsFood,IsClothing,ImprintSize1,ImprintSize1Units,ImprintSize1Type,ImprintSize2,ImprintSize2Units,ImprintSize2Type,ImprintLoc,SecondImprintSize1,SecondImprintSize1Units,SecondImprintSize1Type,SecondImprintSize2,SecondImprintSize2Units,SecondImprintSize2Type,SecondImprintLoc,DecorationMethod,NoDecoration,NoDecorationOffered,NewPictureURL,NewPictureFile,ErasePicture,NewBlankPictureURL,NewBlankPictureFile,EraseBlankPicture,NotPictured,MadeInCountry,AssembledInCountry,DecoratedInCountry,ComplianceList,WarningLbl,ComplianceMemo,ProdTimeLo,ProdTimeHi,RushProdTimeLo,RushProdTimeHi,Packaging,CartonL,CartonW,CartonH,WeightPerCarton,UnitsPerCarton,ShipPointCountry,ShipPointZip,Comment,Verified,UpdateInventory,InventoryOnHand,InventoryOnHandAdd,InventoryMemo
7334244,ALB-AL23,AeroLOFT¨ Anywhere Belt Bag - Large,2026,12/31/2026,FALSE,Bags,Fanny Packs,,,"The AeroLOFT¨ Anywhere Belt Bag larger version of the original belt bag, a unisex, multi-functional bag designed for an active, on-the-go lifestyle. Constructed of water-resistant 290T polyester fabric, it features an easy-access zippered main compartment with 2 inside mesh pockets and a backside zippered side stash pocket. The sleek, compact design is perfect for phone, keys, and wallet, and can be worn as a cross-body, shoulder pack, fanny pack, or waist pack. Metallic grey performance polyester interior lining is water and puncture resistant. Contrast lining makes it brighter, easy to locate inside contents. Adjustable size belt strap with easy-snap buckle extends to 44"".","290T Polyester Hip Pack, Waist Pack, Fanny Pack, Belt Bag, Crossbody, Cross Body, Large Hip Bag, Waist, Hip, Belt, Pack, Hands-Free, Hands Free Storage, travel, city, urban, tours, trendy, Lulu, Dupe","Light Beige, Black, Warm Gray, Navy Blue","Biking, Hiking, Travel, Vacation, Outdoors",8.75,1,1,1.75,1,2,6.25,1,3,40,200,500,750,1500,0,11.52,10.98,10.58,10.17,9.75,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,1,2,3,1,3,Front,9,1,2,1,1,3,Strap,"Screen, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,24,13,14,21,60,US,63114,,TRUE,FALSE,22362,0,
7216446,ALB-BB23,AeroLOFT¨ Business First Backpack,2026,12/31/2026,FALSE,Backpacks,,,,"Travel made better with our AeroLOFT¨ Business First Backpack! Constructed of performance polyester fabric that is lightweight, water repellent and super durable. Features padded safety pockets in the front with carabiners and mesh dividers, inside laptop pocket, expandable side pockets and comfort padded shoulder straps. Roll-aboard belt on back.","Executive Business Travel, 290T Polyester Luggage, Gadgets, Airport, Travel, Adventure, Abroad, Computer Bag, Gifts, Employee Appreciation, Trip, Vacation, Corporate, College, Black Nylon, Laptop","Black, Navy Blue, Olive Green","Executive, Gift, Anniversary, Travel, Vacation",14,1,1,3.5,1,2,18,1,3,20,50,150,250,500,0,29.83,28.15,26.93,26.12,25.25,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0.45,0.45,0.45,0.45,0.45,0,GGGGG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,1,2,5,1,3,Front,3.125,1,2,,0,0,Front,"Screen, Embroidery, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,24,13,14,15,10,US,63114,,TRUE,FALSE,6292,0,
7533778,ALB-BT24,AeroLOFT¨ Business First Tech Organizer,2026,12/31/2026,FALSE,Electronic Organizers,Bags,,,"Elevate your organizational game with our organizer crafted from sleek and colorful performance polyester. This lightweight fabric, water-repellent and super durability, forms the foundation for a two-layer pocket construction, meticulously designed to optimize capacity and organization. The interior is a haven of order, featuring mesh pockets tailored for cables, cords, earbuds, and flash drives. Deeper mesh pockets effortlessly accommodate phones, power banks, travel documents, and beyond. With a safety-padded design and a convenient carrying strap, quick transport is a breeze. Versatile and compact, this accessory seamlessly fits into backpacks, briefcases, or handbags, ensuring that wherever you go, efficiency and style effortlessly come along. Embrace the fusion of form and function in this sleek, high-performance organizational masterpiece.","290T Polyester Tote, Tech Luggage, Travel, Vacation, Zippered Pouch, Suitcase, Hotel, Plane, Cruise, Organizer, Cables, Chargers, Adapter, Polyester, Passport, Wallet, Bag, Executive, Trip","Beige, Black, Navy Blue, Pink, Sky Blue, Silver Gray","Business, Executive, Organization, Computer, Gift",7.875,1,1,1.75,1,2,4.625,1,3,40,200,500,750,1500,0,11.33,10.8,10.38,9.98,9.6,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0.45,0.45,0.45,0.45,0.45,0,GGGGG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,2.25,1,3,Front,4,1,2,1.25,1,3,Back,"Screen, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,24,13,14,14,50,US,63114,,TRUE,FALSE,48764,0,
8105052,ALB-CP24,AeroLOFT¨ Compression Packing Cubes 3 pc,2026,12/31/2026,FALSE,Bags,Tubes-Packaging,,,"Our AeroLOFT¨ space-saving packing cubes make travel a breeze. Three cube sizes allow you to compartmentalize different garment types. Cube sizes: Small - 7"" x 10-3/4"" x 4"" / Medium - 10"" x 13-1/4"" x 3-1/2"" / Large - 13"" x 17"" x 3-1/2"". Dual-zipper construction snugly compresses contents. Perfect for conserving space in luggage, backpacks and most travel gear. Durable water resistant outer cover features our lightweight AeroLOFT¨ fabric.","AeroLOFT, Compression Packing Cubes, Compressible Luggage, Three Piece Set, Travel Kit, Water Repellent Fabric, Polyester",Black,"Travel, Vacation, Convention, College, Shopping",7,1,1,4,1,2,10.75,1,3,20,50,150,250,500,0,26.78,25.33,24.3,23.48,22.65,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0.45,0.45,0.45,0.45,0.45,0,GGGGG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,6,1,3,Front of small bag,4,1,2,6,1,3,Back of small bag,"Screen, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,15,15,12,20,20,US,63114,,TRUE,FALSE,6962,0,
7533777,ALB-CS24,AeroLOFT¨ Crossbody Sling Backpack,2026,12/31/2026,FALSE,Backpacks,,,,"AeroLOFT¨ Crossbody Sling Backpack is crafted from lightweight, water-repellent performance polyester and can be worn across the front or back without bulk using the adjustable, padded strap. Quick access front pocket is tailored for phones, sunglasses or boarding passes with mesh side pockets for water bottles or umbrella. Plus an interior zippered pocket for electronics and a pocket for smaller devices. The interior's carabiner provides a secure spot for keys or clip pouches.","Pack, 290T Polyester Luggage, Tote, College, Hands Free Storage, travel, city, urban, adventure, tours, trendy, Cross Body, Knapsack, Gym Bag, Reusable, Mesh Pockets, Shopping","Black/Black, Gray/Black, Navy Blue/Black","Convention, Executive, Fashion, Travel, College",9.75,1,1,0.875,1,2,16,1,3,30,100,250,500,1000,0,18.22,17.37,16.7,16.05,15.45,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,2,3.5,1,3,Front,6,1,2,1.25,1,3,Strap,"Screen, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,18,17,15,24,40,US,63114,,TRUE,FALSE,19060,0,
8019024,ALB-EC24,AeroLOFT¨ ECO Anywhere Crossbody Mini Backpack,2026,12/31/2026,FALSE,Backpacks,Bags,,,"The AeroLOFT¨ ECO Anywhere Crossbody Mini Backpack is crafted from sustainable RPET 290T, RPET 210D lining, and RPET webbing, promoting eco-conscious practices. This lightweight, water-repellent bag features a versatile crossbody design with an adjustable strap for comfortable wear. It offers dual interior pockets, a zippered compartment for electronics, and a 5L capacity for essentials. Compact yet spacious, it's perfect for travel or daily use.","RPET, Crossbody, Backpack, AeroLOFT, Eco-Friendly, Mini Backpack, Sustainable, Travel Bag, Lightweight, Water-Repellent, Water Resistant, Compact, Travel, 5L Capacity, Dual Pocket, Eco, Casual, Sporty",Black,"Camping, College, Vacation, Shopping, Travel",8.5,1,1,3,1,2,14,1,3,30,100,250,500,1000,0,20.42,18.98,18.05,17.22,16.45,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,2,3,1,3,Front,,0,0,,0,0,,Screen Printed,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,17,15,13,18,30,US,63114,,TRUE,FALSE,5382,0,
8264772,ALB-EF25,AeroLOFT¨ Everyday Foldable Tote,2026,12/31/2026,FALSE,Bags,,,,"Our large capacity AeroLOFT¨ Everyday Foldable Tote is an essential. Perfect for travel, shopping, the gym or beach! Features our durable, extra lightweight, water repellent AeroLOFT¨ fabric with ripstop nylon construction for added strength. Large, zippered main compartment flexes to accommodate extra clothes, towels, outerwear and more. Heavy duty, hands-free shoulder strap is reinforced for extra strength. Exterior zippered front pocket functions as folding compartment when not in use.","AeroLOFT Foldable Tote, Collapsible Luggage, Travel Bag, Ripstop Nylon, Lightweight, Water Repellent Fabric, Packable Knapsack, Sack",Black,"Beach, Convention, Trade Show, Travel, Vacation",21.5,1,1,6,1,2,14.75,1,3,30,100,250,500,1000,0,18.22,17.37,16.7,16.05,15.45,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.5,1,2,3.5,1,3,Pouch,,0,0,,0,0,,Screen Printed,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,20,15,8,22,50,US,63114,,TRUE,FALSE,1702,0,
8019026,ALB-EH24,AeroLOFT¨ ECO Anywhere Belt Bag,2026,12/31/2026,FALSE,Bags,,,,"The AeroLOFT¨ ECO Anywhere Belt Bag is crafted from sustainable RPET 290T fabric, RPET 210D lining, and webbing, promoting eco-conscious practices. Its versatile design can be worn as a crossbody, shoulder, waist, or fanny pack, making it perfect for any activity. Lightweight and water-repellent, it features a spacious zippered main compartment with mesh pockets and a stash pocket. Extends up to 44"" with a customizable fit, ideal for travel or daily essentials.","RPET, Belt Bag, Eco-Friendly, Waist Pack, AeroLOFT, Sustainable, Fanny Pack, Water-Repellent, Water Resistant, Lightweight, Crossbody Bag, Travel, Adjustable, Compact, Eco, Vacation, Zippered, Durable",Black,"Biking, Convention, Walking, Hiking, Amusement",13,1,1,0.25,1,2,6,1,3,40,200,500,750,1500,0,10.22,9.78,9.33,9.02,8.65,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,2.5,1,3,Front,,0,0,,0,0,,"Screen, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,26,17,13,22,80,US,63114,,TRUE,FALSE,4477,0,
7553902,ALB-FS24,AeroLOFT¨ Flex Sport Belt,2026,12/31/2026,FALSE,Bags,Belts,,,"Stretchy, close-fitting Flex Sports Belt for an active lifestyle, offers comfort, style and practicality. Safety first with reflective stripes and secure zippered storage for smartphone. Two unique hidden side pockets, one with small carabiner to secure keys or a fob, and one with an elastic loop for attaching an item with a split key ring. Made of AeroLOFT¨ lycra fabric, this belt bag is lightweight and breathable. Adjustable elastic buckled belt is color matched to the bag, extending to 37"".","Lycra Fanny Pack, Hip Bag, Reflective, Hiking, Travel, Carry, Sports, Phone, Walk, Race, Athlete, Clasp, Music, Key, Fitness, Jogging, Tourist, Exercise, Stash Belt, Hands Free","Black, Neon Green, Neon Pink, Royal Blue","Walking, Travel, Jogging, Vacation, Hiking",17,1,1,0.25,1,2,3,1,3,40,200,500,750,1500,0,11.62,11.03,10.6,10.17,9.75,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0.45,0.45,0.45,0.45,0.45,0,GGGGG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,2,1.25,1,3,Front - Pouch,8,1,2,1.25,1,3,Strap,"Screen, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,16,16,16,28,160,US,63114,,TRUE,FALSE,12902,0,
8397231,ALB-IN25,AeroLOFT¨ Infinity Laptop Backpack,2026,12/31/2026,FALSE,Backpacks,,,,"AeroLOFT¨ Infinity Laptop Backpack is designed to take the hassle out of travel. Made of our super durable water repellent AeroLOFT¨ fabric, it is lightweight. Interior padded pockets for laptop and notebooks, fits up to 17"" laptop. Exterior zippered front pocket with carabiner and mesh zippered pocket for easy access smaller items, tech gear. Comfort air mesh back panel with roll-aboard belt. Adjustable padded shoulder straps with mesh pocket and elastic strap for sunglasses, pens or keys.","AreoLOFT, Laptop, Backpack, Travel, Tech, Lightweight, Water-Repellent, Padded, 17-Inch, Commuter, Student, Office, Corporate, Giveaway, Tourism, Airline, University, Organizer",Black,"Business, College, Graduation, Office, Vacation",15,1,1,6,1,2,18,1,3,15,50,150,250,500,0,34.02,31.82,30.38,29.43,28.57,0,CCCCC,1,1,1,1,1,0,FALSE,1 color,1 side,1 location,60,G,0,,0,,0,,0,,25,G,60,G,0,0,0,0,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,2,4,1,3,Front,,0,0,,0,0,,"Screen, Heat Transfer",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,MM,MM,US,Prop 65,,,5,7,0,0,Bulk,19,15,15,17,10,US,63114,,TRUE,FALSE,0,0,
